CoC Number,County,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Hispanic/Latino,Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Black or African American,Overall Homeless - Asian,Overall Homeless - American Indian or Alaska Native,CoC Number Original,CoC Name,CoC Category,State,Median_House_Values_1_year,Percentage_of_Households_with_Cost_Burden_1_year,Median_Rent_1_year,Median_Gross_Rent_1_year,Share_of_Renter_Occupied_Units_1_year,Rental_Vacancy_Rates_1_year,Total_Housing_Units_1_year,Share_of_Overcrowded_Housing_Units_1_year,Share_of_Single_Person_Households_1_year,Median_Rental_Utility_Cost_1_year,Median_House_Values_5_year,Percentage_of_Households_with_Cost_Burden_5_year,Median_Rent_5_year,Median_Gross_Rent_5_year,Share_of_Renter_Occupied_Units_5_year,Rental_Vacancy_Rates_5_year,Total_Housing_Units_5_year,Share_of_Overcrowded_Housing_Units_5_year,Share_of_Single_Person_Households_5_year,Median_Rental_Utility_Cost_5_year,Geography,FIPS code,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,LAUS Code,State FIPS,County FIPS,Labor Force,Employed,Unemployed,Unemployment Rate,Total Population,Share of Single-Adult Households,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Total Two or more races,Estimate Total Some Other Race alone,Estimate Total Two or More Races,Estimate Total  10 to 14 years,Estimate Total  15 to 17 years,Estimate Total  18 and 19 years,Estimate Total  20 years,Estimate Total  21 years,Estimate Total  22 to 24 years,Estimate Total  25 to 29 years,Estimate Total  30 to 34 years,Estimate Total  35 to 39 years,Estimate Total  40 to 44 years,Estimate Total  45 to 49 years,Estimate Total  5 to 9 years,Estimate Total  50 to 54 years,Estimate Total  55 to 59 years,Estimate Total  60 and 61 years,Estimate Total  62 to 64 years,Estimate Total  65 and 66 years,Estimate Total  67 to 69 years,Estimate Total  70 to 74 years,Estimate Total  75 to 79 years,Estimate Total  80 to 84 years,Estimate Total  85 years and over,Estimate Total  Under 5 years,Proportion of Females,Estimate Gini Index,Median Household Income,Gini Index,Poverty Rate,JanuaryPrecipitation,YearlyPrecipitation,SummerTemperature,JanuaryTemperature,Share of Families Receiving Cash Assistance,Percentage of Homes Built before 1940,HUD_Assisted_Total_Units,Total Housing Units,Share of HUD-Assisted Units,HUD_Subsidized_Total_Units,pct_occupied,number_reported,pct_reported,Disabled workers,Total,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,With a Disability Estimate Population Age 16 and Over,Aged,Blind and disabled,SSI Participation Rate (Percent),SSDI Participation Rate (Percent),total_homeless_per_10k,total_sheltered_homeless_per_10k,unsheltered_homeless_per_10k
CA-609,san bernardino county,2011,2825,1133,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,211500,0.5772961337714213,937,1224,0.37,53,702114,0.02491381,0,287,278400,0.5578950316996424,959,1329,0.36,70,696776,0.023304087,0,370,0500000US06071,06071,-5.54,599.14,137.52,137.28,,,,,,,,2065377,0.058058166,0.62,0.08,0.01,0.06,0,0.17,0.05,,,0.084639753,0.052251962,0.032577588,0.016706393,0.017619059,0.046994326,0.072411477,0.068102337,0.065514432,0.066305086,0.06815027,0.07362191,0.066350598,0.0556373,0.020828643,0.024110852,0.01244567,0.018974744,0.021212108,0.015072309,0.013019899,0.010752516,0.076700767,0.5,0.4369,51247,0.4369,19.3,0.15,8.49,84.1,51.6,0.2078143605879132,0.036327434,,,,,,,,,,,,,,,,12.165397515895014,4.035913868,8.129483648062545
CA-609,san bernardino county,2012,2532,840,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,206100,0.5772811144172748,936,1210,0.4,70,700200,0.024148976,0,274,241500,0.5679488508103578,963,1307,0.37,69,698715,0.02520602,0,344,0500000US06071,06071,-1.02,593.06,136.12,135.89,CN0607100000000,6,71,890518,787254,103264,11.6,2081313,0.056045391,0.63,0.09,0.01,0.07,0,0.16,0.04,,,0.078474982,0.050663211,0.032308451,0.019807689,0.0176331,0.045816271,0.072659422,0.06875948,0.063956743,0.066708371,0.066102504,0.07652381,0.066307663,0.055132025,0.021292328,0.026235362,0.015064049,0.017361156,0.023570698,0.015821743,0.012189421,0.011506679,0.076104843,0.5,0.439,50770,0.439,20.4,0.73,4.79,85.4,67.6,0.2168706270800031,0.042634961,30488,698715,0.043634386,15244,98,13999,95,42025,261710,1527869,207868,14143,57838,4.711202334755139,2.7505630391087195,11.113925638691592,5.142764384297617,5.971161254393976
CA-609,san bernardino county,2013,2321,1074,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,230500,0.5471074107522093,962,1199,0.4,71,703253,0.015464583,0,237,222300,0.5679022541357698,965,1272,0.38,70,701332,0.023888892,0,307,0500000US06071,06071,12.75,668.68,153.48,153.22,CN0607100000000,6,71,893610,805211,88399,9.9,2088371,0.060014241,0.64,0.09,0.01,0.07,0,0.15,0.04,,,0.078537291,0.048750916,0.031069192,0.019360545,0.016469296,0.047924435,0.073627722,0.069717019,0.063712817,0.065720123,0.064780635,0.075876844,0.065697139,0.058371333,0.021118853,0.025471049,0.016349107,0.018265433,0.024716873,0.016379274,0.011845596,0.012433136,0.073805373,0.5,0.4461,52323,0.4461,19.1,0.02,5.64,86.1,67.7,0.2198374946951478,0.036237314,32814,701332,0.046788112,16407,98,14282,91,42740,269515,1537573,206204,14377,59015,4.773236782903966,2.779705418864665,10.957962604710078,5.055336527788493,5.902626076921584
CA-609,san bernardino county,2014,2315,1068,1247,409,288,1618,0,0,0,0,0,0,0,0,0,0,0,0,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,261600,0.5781572076405112,981,1208,0.42,57,708364,0.022467613,0,227,225400,0.5704165474045763,972,1255,0.39,66,703737,0.022978782,0,283,0500000US06071,06071,18.65,793.37,182.1,181.79,CN0607100000000,6,71,903649,830461,73188,8.1,2112619,0.057523387,0.61,0.08,0.01,0.07,0,0.19,0.04,,,0.075315521,0.047569391,0.029935828,0.01604028,0.018860949,0.048416208,0.075504386,0.069799145,0.066346558,0.063023195,0.063647539,0.076512613,0.065709908,0.060528188,0.019969526,0.026762989,0.017307427,0.020683805,0.023758188,0.017684684,0.011975657,0.011717683,0.07293033,0.5,0.451,52041,0.451,20.6,1.01,3.66,85.1,68.8,0.2238173799588091,0.038268461,30498,703737,0.043337213,15249,92,14920,100,43065,277215,1557624,207121,14422,59241,4.729190099793018,2.764787907736398,10.098053082208677,3.937723817073463,6.160329265135215
CA-609,san bernardino county,2015,2149,838,1311,357,228,1564,768,1380,653,1251,0,0,0,28,166,616,47,41,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,281300,0.5632554541464903,992,1205,0.43,43,711715,0.025023935,0,213,236700,0.5682273991065772,975,1233,0.4,58,705962,0.022670411,0,258,0500000US06071,06071,6.02,841.1,193.06,192.73,CN0607100000000,6,71,919308,859733,59575,6.5,2128133,0.057022752,0.61,0.08,0.01,0.07,0,0.18,0.05,,,0.074530116,0.046590603,0.029057394,0.015388606,0.016634299,0.049240813,0.07784006,0.069961323,0.06557015,0.062466021,0.06354584,0.075267852,0.064891621,0.058247769,0.021948346,0.029562062,0.016147487,0.021833692,0.02710075,0.019284039,0.011185391,0.011806123,0.071899642,0.5,0.4445,53803,0.4445,19,1.49,5.81,85.6,67.8,0.2371564396308957,0.03500137,30569,705962,0.043301198,15285,96,15463,100,42715,283675,1565351,203337,14443,58956,4.688980298987256,2.728780957114411,8.817361464158617,3.252190555937678,5.5651709082209395
CA-609,san bernardino county,2016,1887,696,1191,318,175,1394,695,1190,609,1207,0,0,0,21,101,456,30,72,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,302600,0.5536795336709923,1042,1281,0.42,41,714364,0.025279031,0,239,256000,0.5632573634476171,991,1245,0.41,56,708442,0.022547268,0,254,0500000US06071,06071,6.75,897.87,206.09,205.73,CN0607100000000,6,71,930242,876387,53855,5.8,2140096,0.055657316,0.61,0.09,0.01,0.07,0,0.17,0.05,,,0.075338676,0.04612737,0.0287146,0.01697307,0.015766582,0.045932519,0.078765625,0.070043587,0.063543878,0.063966757,0.063311179,0.074498527,0.062864937,0.059933293,0.024626933,0.02688571,0.017429125,0.023690059,0.026482924,0.01830245,0.012177958,0.012700365,0.071923876,0.5,0.44,56337,0.44,17.7,2.91,6.02,87.4,68,0.237141122,0.040409371,29547,708442,0.041707013,,,,,41855,290165,1582812,221516,14590,57980,4.584878052478754,2.6443443693881523,8.649284046937893,3.1843827118147554,5.464901335123139
CA-609,san bernardino county,2017,1866,687,1179,286,169,1411,680,1180,565,1174,0,0,0,15,181,439,24,33,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,326600,0.5397824887389591,1083,1314,0.41,29,719259,0.022150256,0.19,231,280200,0.5554061333868108,1032,1278,0.41,49,711900,0.021733623,0.19,246,0500000US06071,06071,7.42,964.47,221.37,220.99,CN0607100000000,6,71,942048,895265,46783,5,2157404,0.054436721,0.61,0.08,0.01,0.07,0,0.17,0.05,,,0.07573315,0.045414767,0.028074946,0.016059115,0.017164611,0.044282388,0.080338685,0.071494259,0.06729245,0.060833761,0.06250197,0.072433814,0.061483153,0.06145905,0.020750865,0.030782366,0.016645005,0.025054185,0.026924489,0.018348441,0.013059677,0.01247008,0.071398774,0.5,0.4343,60420,0.4343,16.2,1.12,8.02,87.4,69.3,0.2538394220346169,0.03626371,29824,711900,0.041893524,14912,95,14931,100,41210,296505,1598269,228523,14840,57122,4.502496138009309,2.5784145222112174,9.753163907,3.1083029448752835,6.644860962155606
CA-609,san bernardino county,2018,2118,675,1443,353,159,1606,777,1329,643,1296,0,0,0,14,242,508,11,47,['CA-609'],['San Bernardino City & County CoC'],Largely Suburban CoC,california,353400,0.5520256057803148,1130,1350,0.4,46,725921,0.026249243,0.19,220,305400,0.5549119672392786,1081,1320,0.41,43,716171,0.023828439,0.19,239,0500000US06071,06071,7.04,1032.37,236.96,236.55,CN0607100000000,6,71,955090,915841,39249,4.1,2171603,0.054742971,0.61,0.08,0.01,0.07,0,0.18,0.05,,,0.075293228,0.044721802,0.027971503,0.01492492,0.014118603,0.046490081,0.080830612,0.071930275,0.067335512,0.062235593,0.061764052,0.072272418,0.060146813,0.060186876,0.023991494,0.028885114,0.017470965,0.02320636,0.029940555,0.020386783,0.012796538,0.011858982,0.071240922,0.5,0.4394,63857,0.4394,14.9,1.87,3.77,87.4,68,0.2392455341189614,0.03566366,30075,716171,0.041994161,15037,90,14401,100,40480,303170,1620928,203373,14827,56576,4.405069194930312,2.497334860030797,11.958249334314948,3.1512532768217754,8.806996057493171
CA-611,ventura county,2010,1815,524,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,458200,0.5363854666945083,1294,1682,0.36,49,281681,0.017130242,0,388,568700,0.5260486421392637,1294,,0.34,37,279398,0.016110176,0,,0500000US06111,06111,-0.72,1045.52,173.58,155.04,,,,,,,,825706,0.067096521,0.75,0.02,0.01,0.07,0,0.12,0.04,,,0.067203097,0.047430926,0.030171756,0.015648427,0.016362967,0.037863356,0.064989233,0.062740249,0.065883014,0.068721797,0.075242278,0.07532342,0.074279465,0.059389177,0.024840561,0.029724866,0.018570775,0.021318726,0.022493478,0.021920635,0.016693593,0.015997219,0.067190986,0.5,,71864,0.441,10.7,0.86,19.63,66.8,50,0.2276277078059775,0.035717709,,,,,,,,,,,,,,,,21.760797142482726,9.978708081911968,11.782089060570758
CA-611,ventura county,2011,1810,830,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,433100,0.5499575893342613,1303,1743,0.35,37,282521,0.024968737,0,440,515900,0.535137639,1339,1801,0.34,39,280758,0.018586168,0,462,0500000US06111,06111,-5.97,983.08,163.21,145.78,,,,,,,,831771,0.066751546,0.76,0.02,0.01,0.07,0,0.1,0.04,,,0.076105082,0.045077311,0.029271278,0.014017079,0.014909152,0.040949973,0.065884721,0.063618472,0.060135542,0.071888777,0.074169453,0.065481966,0.074014362,0.064218397,0.023486032,0.030045529,0.017988124,0.020586195,0.026615499,0.022230878,0.0161619,0.016886859,0.066257419,0.5,0.4364,74623,0.4364,11.3,1.37,23.33,67.5,51.2,0.2243025970462933,0.035969008,,,,,,,,,,,,,,,,23.038801121078112,8.170042142,14.868758978972009
CA-611,ventura county,2012,1926,683,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,413100,0.5977005498231593,1356,1689,0.36,23,281700,0.023409998,0,333,465600,0.5499028746920748,1356,1793,0.35,38,281245,0.020157849,0,437,0500000US06111,06111,-1.11,972.18,161.4,144.16,CN0611100000000,6,111,433668,393575,40093,9.2,835981,0.068173798,0.78,0.02,0.01,0.07,0,0.08,0.04,,,0.067789818,0.044773745,0.028090351,0.014714449,0.012150994,0.046353924,0.065214401,0.063526563,0.065282584,0.064298112,0.071324588,0.07095855,0.074641649,0.066000304,0.021615324,0.031413393,0.01735805,0.024621373,0.027160904,0.021644033,0.015940554,0.019403551,0.065722786,0.5,0.4431,71517,0.4431,11.5,1.46,17.03,69.5,58.6,0.2450120649107502,0.03313809,18094,281245,0.064335366,9056,97,8792,100,14595,124570,643784,74079,4637,11877,2.5651460738384304,2.2670647297851456,19.93759081489245,7.146089897810914,12.791500917081535
CA-611,ventura county,2013,1674,600,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,443700,0.5615233374976959,1432,1724,0.37,46,282819,0.020260508,0,292,442200,0.5610757873175728,1381,1780,0.35,38,282231,0.020518504,0,399,0500000US06111,06111,9.54,1064.9,176.79,157.91,CN0611100000000,6,111,432345,397865,34480,8,839620,0.063882471,0.79,0.02,0.01,0.07,0,0.07,0.04,,,0.069720826,0.043859127,0.028229437,0.017641314,0.010884686,0.044147352,0.065274767,0.063982516,0.060759629,0.067344751,0.069766085,0.068186799,0.073061623,0.069633882,0.021578809,0.031677426,0.018413092,0.023473714,0.031290346,0.021132179,0.016087039,0.019935209,0.063919392,0.5,0.4459,77363,0.4459,11.9,0.09,12.43,70,60,0.2526356632681714,0.037041359,18556,282231,0.065747561,9287,97,8912,99,14660,127775,649939,82539,4606,12056,2.5636252017497028,2.255596294421476,16.875881906643755,6.121643436723715,10.754238469920042
CA-611,ventura county,2014,1428,518,910,234,86,1108,0,0,0,0,0,0,0,0,0,0,0,0,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,483100,0.5556402744893455,1422,1694,0.37,34,284527,0.020135695,0,272,444800,0.5589125136566098,1401,1769,0.36,37,283047,0.020401077,0,368,0500000US06111,06111,13.2,1205.47,200.13,178.76,CN0611100000000,6,111,429179,400313,28866,6.7,846178,0.06597548,0.81,0.02,0.01,0.07,0,0.05,0.04,,,0.070196814,0.042664782,0.027857023,0.01332462,0.013874149,0.044360643,0.065841939,0.064440342,0.062909931,0.064303255,0.067046177,0.065330226,0.073755167,0.068211417,0.026852506,0.029608428,0.020116335,0.02660315,0.03080203,0.02175547,0.016208174,0.020365691,0.063571731,0.51,0.4489,75449,0.4489,11.3,1.97,3.56,69.8,60.8,0.2582175159938231,0.029452389,18052,283047,0.063777394,9028,92,8557,100,14665,130995,659856,83847,4652,11931,2.513124075555879,2.2224545961543125,16.660082583218113,5.408354261312867,11.251728321905246
CA-611,ventura county,2015,1417,460,957,178,113,1126,546,869,595,967,0,0,0,16,244,127,12,51,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,528700,0.5551513681742856,1465,1760,0.37,33,285889,0.022918321,0,295,458100,0.5636052303860523,1416,1752,0.36,33,283899,0.022563939,0,336,0500000US06111,06111,3.72,1250.33,207.58,185.41,CN0611100000000,6,111,427235,402977,24258,5.7,850536,0.068473292,0.81,0.02,0.01,0.07,0,0.05,0.04,,,0.071566636,0.04212285,0.027045298,0.015443203,0.013864199,0.042472041,0.066553326,0.063623409,0.064083119,0.061195528,0.068443899,0.061790447,0.071481983,0.070955256,0.023768541,0.032219683,0.022080194,0.02554742,0.034083213,0.025513323,0.01596993,0.017644168,0.062532333,0.51,0.4404,80032,0.4404,9.6,4.78,16.74,70.4,60.4,0.2726398477517057,0.035863569,17882,283899,0.062987189,8941,94,8485,100,14405,134090,666147,83230,4647,11828,2.4731778421279387,2.162435618564671,14.95755162179401,5.813556649225997,9.143994972568015
CA-611,ventura county,2016,1271,494,777,151,71,1049,469,802,439,960,0,0,0,17,183,64,20,27,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,561400,0.5527072258318567,1553,1802,0.38,41,286905,0.019381479,0,249,481400,0.5611968190451041,1468,1770,0.37,34,284759,0.022035509,0,302,0500000US06111,06111,6.63,1333.19,221.33,197.7,CN0611100000000,6,111,425346,403087,22259,5.2,849738,0.06889653,0.8,0.02,0.01,0.07,0,0.05,0.05,,,0.067311336,0.042049432,0.025819723,0.015995519,0.012073133,0.042301274,0.068264571,0.063578421,0.062546338,0.061245937,0.06722072,0.065501366,0.070129852,0.067511398,0.026543476,0.035263811,0.023368379,0.026579958,0.034838974,0.0250183,0.015986104,0.019817873,0.061034107,0.51,0.4474,80135,0.4474,9.5,10.18,9.63,70.5,59.5,0.2870664418491584,0.031006779,17744,284759,0.062312341,,,,,14200,136870,667357,89904,4647,11728,2.4537091841398238,2.1277966665517853,13.485939854113036,5.712793965978439,7.7731458881345965
CA-611,ventura county,2017,1152,488,664,99,62,991,330,819,463,869,0,0,0,9,123,108,8,35,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,592500,0.5504438425495739,1643,1857,0.37,25,288778,0.017391624,0.22,214,520300,0.5530653731583608,1540,1820,0.37,35,285997,0.020855706,0.21,280,0500000US06111,06111,5.35,1404.54,233.18,208.28,CN0611100000000,6,111,423676,404462,19214,4.5,854223,0.070193615,0.8,0.02,0.01,0.08,0,0.05,0.04,,,0.070181908,0.040927252,0.026299924,0.013985809,0.015172853,0.039580999,0.068829802,0.064218594,0.061118701,0.062758788,0.067044554,0.061290787,0.068160188,0.072661354,0.023438844,0.034657227,0.020283931,0.026618342,0.039746062,0.024721882,0.017358465,0.020777947,0.060165788,0.5,0.4535,82857,0.4535,9.3,2.87,21.54,71.7,61,0.2902190602927628,0.037437062,17828,285997,0.062336318,8914,94,8397,100,13825,139710,671758,90855,4670,11740,2.4428440003691807,2.0580328034798248,15.37074880694551,5.617139089999965,9.753609716945546
CA-611,ventura county,2018,1308,478,830,118,51,1139,446,855,493,1122,0,0,0,5,76,65,12,28,['CA-611'],"['Oxnard, San Buenaventura/Ventura County CoC']",Other Largely Urban CoC,california,614400,0.5562656838143036,1657,1881,0.38,42,290984,0.022589896,0.22,224,559700,0.5531543462557188,1595,1870,0.37,34,287498,0.020492136,0.22,275,0500000US06111,06111,4.37,1465.93,243.37,217.38,CN0611100000000,6,111,423096,406894,16202,3.8,850967,0.071510411,0.81,0.02,0.01,0.08,0,0.05,0.05,,,0.066500816,0.039866411,0.026654383,0.014971203,0.011186098,0.04104977,0.069778264,0.064252785,0.06411647,0.061032919,0.065310406,0.063723975,0.065561884,0.072456394,0.0263653,0.033374972,0.023671893,0.028878911,0.036829865,0.025811812,0.018409645,0.021772877,0.058422947,0.51,0.4458,84566,0.4458,8.9,8.17,13.6,71.1,59.1,0.2870523812954824,0.033998433,18154,287498,0.063144787,9077,90,8200,100,13250,142335,672348,82966,4547,11480,2.3837358034827205,1.970705646480692,19.727992472866624,4.858121573605861,14.86987089926076
CA-614,san luis obispo county,2010,3829,242,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,425200,0.567992762,1034,1290,0.4,60,117353,0.00726521,0,256,513900,0.5558982656621327,1002,,0.39,41,116323,0.00778062,0,,0500000US06079,06079,-7.1,1239.18,180.53,152.55,,,,,,,,270113,0.089273748,0.82,0.02,0.01,0.03,0,0.08,0.03,,,0.049742145,0.036136728,0.042019451,0.023786341,0.030268813,0.046954423,0.067079333,0.057272327,0.049764358,0.059712046,0.068682366,0.05346281,0.076419869,0.078774439,0.026681426,0.03363037,0.018414515,0.022742334,0.03734363,0.028499184,0.021165216,0.022686801,0.048761074,0.49,,53978,0.462,14.4,1.88,19.35,69.1,50,0.2835591648037471,0.0478897,,,,,,,,,,,,,,,,78.28098055293067,8.383308391765238,69.89767216116543
CA-614,san luis obispo county,2011,2129,228,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,402200,0.5481241273701752,1125,1299,0.44,39,117459,0.011326461,0,174,480200,0.5580577232751146,1065,1358,0.4,43,116925,0.008422147,0,293,0500000US06079,06079,-6.6,1157.37,168.61,142.48,,,,,,,,271969,0.1010556350172262,0.84,0.02,0.01,0.04,0,0.06,0.03,,,0.054943762,0.033842092,0.051134504,0.017663778,0.026558174,0.059565612,0.063305009,0.053881141,0.040717876,0.065132423,0.065216992,0.044828639,0.073471609,0.078854575,0.02599561,0.038655141,0.018244726,0.030433616,0.033967107,0.028683416,0.0236424,0.022561395,0.048700403,0.49,0.4604,54195,0.4604,15.3,2.4,22.65,69.1,50.2,0.2784752447244787,0.045351995,,,,,,,,,,,,,,,,77.47339922271874,8.296822463,69.17657676016361
CA-614,san luis obispo county,2012,2129,228,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,410900,0.5068134171907757,1087,1319,0.45,22,117552,0.006958007,0,232,449300,0.5468033186920449,1101,1382,0.4,41,117318,0.008789869,0,281,0500000US06079,06079,1.37,1173.2,170.92,144.43,CN0607900000000,6,79,137013,125533,11480,8.4,274804,0.09387054,0.83,0.02,0.01,0.04,0,0.06,0.04,,,0.055825243,0.03220841,0.04564344,0.02083303,0.027823467,0.061560239,0.055654212,0.059700732,0.051316575,0.05656759,0.059493312,0.051196489,0.070919637,0.068237726,0.027801633,0.044227886,0.025399921,0.025432672,0.036549686,0.025734705,0.021731853,0.028609482,0.047532059,0.49,0.4437,60264,0.4437,13.7,0.94,16,70.9,60,0.3120572824633917,0.047621478,5375,117318,0.045815646,2692,92,2427,100,,,,,,,,,85.26169951852641,8.500848276136491,76.76085124238993
CA-614,san luis obispo county,2013,2357,235,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,436000,0.5526216772537128,1078,1275,0.43,17,118213,0.01282137,0,197,426600,0.5462993459746859,1104,1355,0.42,38,117784,0.009867455,0,251,0500000US06079,06079,8.91,1277.69,186.14,157.29,CN0607900000000,6,79,137727,128206,9521,6.9,276443,0.099814428,0.86,0.02,0.01,0.04,0,0.04,0.03,,,0.045275156,0.031908929,0.047221308,0.025017816,0.032248963,0.054286055,0.054539272,0.059773624,0.046255467,0.062179183,0.057805768,0.055342331,0.068241916,0.077209407,0.028002156,0.037248185,0.03211512,0.026258578,0.038355104,0.029528691,0.022029858,0.021447459,0.047709654,0.49,0.449,58158,0.449,15.3,0.01,12.44,72.1,61.2,0.2951591180787797,0.058140814,5446,117784,0.04623718,2723,97,2371,96,,,,,,,,,84.77764679324788,8.742918773268167,76.03472801997971
CA-614,san luis obispo county,2014,2366,244,2122,268,219,1879,0,0,0,0,0,0,0,0,0,0,0,0,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,459900,0.5293294404362618,1136,1356,0.4,32,119138,0.010453505,0,220,426200,0.5396681328399544,1124,1355,0.42,34,118209,0.009076698,0,231,0500000US06079,06079,12,1430.99,208.47,176.17,CN0607900000000,6,79,139919,132020,7899,5.6,279083,0.099923679,0.87,0.02,0,0.04,0,0.03,0.03,,,0.049544401,0.033294755,0.049583816,0.035107835,0.019693066,0.055424372,0.056266415,0.059236858,0.054786569,0.051006331,0.052561424,0.04809322,0.065102496,0.077027264,0.029700842,0.03550915,0.024967483,0.032975853,0.044653383,0.027493613,0.026597822,0.019789812,0.051583221,0.49,0.465,63474,0.465,14.8,0.35,2.19,72.2,62.6,0.3157723122787405,0.050067988,5274,118209,0.044615892,2637,95,2547,100,,,,,,,,,53.83776177,13.930298755157231,39.90746301541217
CA-614,san luis obispo county,2015,1515,392,1123,225,415,875,492,1018,319,1183,0,0,0,3,207,79,7,36,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,508200,0.5251290157608443,1169,1387,0.41,28,120134,0.014146621,0,218,445700,0.5384615384615384,1137,1360,0.42,27,118806,0.010745733,0,223,0500000US06079,06079,4.84,1500.26,218.56,184.69,CN0607900000000,6,79,138913,132302,6611,4.8,281401,0.097473001,0.85,0.02,0.01,0.04,0,0.06,0.03,,,0.048329608,0.032469679,0.049058106,0.029829318,0.0238201,0.050795839,0.056407049,0.061808593,0.062004044,0.043333179,0.053841315,0.051570535,0.064548456,0.06862449,0.029317593,0.044058123,0.030237988,0.036627446,0.040806536,0.028287035,0.019879105,0.02543701,0.048908852,0.49,0.4658,62648,0.4658,14.9,5.29,12.52,72.1,61.3,0.3297581047758801,0.060340953,5398,118806,0.045435416,2699,95,2578,100,,,,,,,,,48.358531851940874,8.660701976407541,39.697829875533344
CA-614,san luis obispo county,2016,1368,245,1123,115,406,847,379,984,381,1016,0,0,0,3,217,80,8,44,['CA-614'],['San Luis Obispo County CoC'],Largely Suburban CoC,california,547200,0.4528975487115022,1218,1426,0.37,26,120866,0.013413349,0,208,471800,0.5177886863020102,1151,1380,0.41,26,119399,0.01124478,0,229,0500000US06079,06079,7.95,1619.47,235.93,199.37,CN0607900000000,6,79,139484,133438,6046,4.3,282887,0.097710393,0.84,0.02,0.01,0.04,0,0.06,0.03,,,0.053919056,0.030390226,0.049832619,0.033433845,0.023231891,0.047075334,0.058118613,0.05679653,0.062961536,0.043363605,0.053434764,0.048514071,0.062738832,0.06771255,0.028262168,0.042405625,0.02968323,0.046587507,0.039114558,0.032917737,0.019456532,0.023673764,0.046375408,0.49,0.4376,70564,0.4376,10.6,10.07,11.59,72.3,61,0.3276339768568592,0.053704102,5440,119399,0.045561521,,,,,,,,,,,,,39.69584164005575,10.691413348388348,29.004428291667402
