CoC Number,County,HPI,SummerTemperature,Median_House_Values_5_year,Median_House_Values_1_year,Overall Homeless,Unsheltered Homeless,Median_Gross_Rent_5_year,Median_Gross_Rent_1_year,Overall Homeless - Multiple Races,Sheltered Total Homeless,Overall Homeless - Native Hawaiian or Other Pacific Islander,Median_Rent_1_year,Overall Homeless - Age 18 to 24,Median_Rent_5_year,SSDI Participation Rate (Percent),Estimate Total  85 years and over,Overall Homeless - American Indian or Alaska Native,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,JanuaryPrecipitation,Estimate Total Two or more races,Estimate Total Asian alone,Overall Homeless - Asian,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Estimate Total  62 to 64 years,Estimate Total Black or African American alone,Estimate Total  60 and 61 years,total_homeless_per_10k
AZ-502,maricopa county,388.95,89.5,193900,161600.0,6485,1749,1127.0,1017.0,0,4736,0,783.0,0,797,2.7292951311644296,0.015620589,0,0.0,0.06,1.5,0.03,0.04,0,3013965.0,0.030471296,0.05,0.020765472,14.687939278876804
AZ-502,maricopa county,452.74,89.8,176500,185000.0,5889,1581,1089.0,994.0,0,4308,0,784.0,0,793,2.6953481814886184,0.017491842,0,0.0,0.06,0.0,0.03,0.04,0,3078452.0,0.031500629,0.05,0.021692707,14.479382049921329
AZ-502,maricopa county,508.19,88.3,175600,206300.0,5918,1053,1063.0,1009.0,0,4865,0,813.0,601,796,2.642657587784824,0.017052054,0,0.0,0.07,1.26,0.03,0.04,0,3146643.0,0.030944969,0.05,0.020857846,13.510248570819158
AZ-502,maricopa county,538.64,89.9,187100,228300.0,5631,1289,1045.0,1050.0,263,4342,38,840.0,437,806,2.555885494,0.017414089,294,0.0,0.07,1.58,0.03,0.04,33,3226866.0,0.031818543,0.05,0.021172774,13.43861426251303
AZ-502,maricopa county,582.54,90.7,204900,239300.0,5702,1646,1053.0,1086.0,193,4056,46,881.0,438,830,2.477107480758116,0.017042435,325,0.0,0.09,1.44,0.04,0.04,34,3287100.0,0.031627173,0.05,0.023408218,13.013598920649088
AZ-502,maricopa county,627.9,90.5,225000,256500.0,5605,2059,1086.0,1125.0,175,3546,28,929.0,363,862,2.386208707,0.017240407,311,0.0,0.07,0.44,0.04,0.04,30,3351970.0,0.031602498,0.05,0.0224484,14.278511226020354
AZ-502,maricopa county,678.12,89.8,242700,276800.0,6298,2618,1126.0,1155.0,227,3680,42,961.0,508,907,2.272586904,0.017489476,387,0.0,0.05,1.11,0.04,0.04,44,3448713.0,0.033084068,0.06,0.023366609,14.745573095370906
CA-500,santa clara county,1316.39,67.4,701000,639400.0,7086,4983,1053.5,1725.0,0,2103,0,1345.0,0,1325,2.631751953517868,0.015525588,0,0.0,0.1,1.85,0.04,0.32,0,1073690.0,0.027657418,0.03,0.021136168,39.05762090618986
CA-500,santa clara county,1274.69,67.0,681100,627400.0,7067,5169,1830.0,1748.0,0,1898,0,1389.0,0,1381,2.631751953517868,0.015414689,0,0.0,0.08,3.07,0.04,0.32,0,1073690.0,0.026892667,0.03,0.020628636,38.38358991327366
CA-500,santa clara county,1310.47,68.6,656600,634600.0,7053,5169,1858.0,1829.0,0,1884,0,1480.0,0,1427,1.6069446112679833,0.015675612,0,0.0,0.09,0.98,0.04,0.33,0,1440311.0,0.027861164,0.03,0.020975737,40.98191178389735
CA-500,santa clara county,1463.15,69.5,645600,682300.0,7631,5674,1868.0,1858.0,0,1957,0,1577.0,0,1473,1.577672060265363,0.017595209,0,0.0,0.11,0.2,0.05,0.33,0,1462598.0,0.027764158,0.03,0.02053929,39.93972358
CA-500,santa clara county,1666.1,70.3,664100,746500.0,7567,5674,1902.0,1956.0,0,1893,0,1717.0,1037,1541,1.505081742200712,0.015397405,0,0.0,0.1,0.01,0.05,0.34,0,1494271.0,0.02915489,0.03,0.022460618,34.18065487548773
CA-500,santa clara county,1802.43,70.9,698600,836800.0,6556,4627,1938.0,2072.0,1784,1929,84,1834.0,897,1616,1.4354331324932734,0.017650794,451,0.0,0.12,7.73,0.05,0.35,176,1520447.0,0.02831374,0.02,0.023772135,33.98975305850468
CA-500,santa clara county,1977.29,70.3,752400,925700.0,6524,4627,2026.0,2228.0,1719,1897,98,1986.0,903,1727,1.3685805143264662,0.018016549,461,0.0,0.12,12.68,0.05,0.36,182,1524207.0,0.029174191,0.02,0.024109071,38.14972295788826
CA-500,santa clara county,2056.92,71.3,829600,971300.0,7394,5448,2152.0,2356.0,1457,1946,224,2131.0,2091,1859,1.2909656966431011,0.017652373,973,0.0,0.11,4.74,0.05,0.36,225,1546904.0,0.030629677,0.03,0.023673054,37.438647377901184
CA-500,santa clara county,2299.86,70.6,913000,1110600.0,7254,5448,2288.0,2423.0,1465,1806,206,2225.0,2077,2017,1.2292015993808847,0.019362913,945,0.0,0.1,5.45,0.05,0.37,245,1550600.0,0.032695077,0.03,0.02321929,50.34618840035438
CA-502,alameda county,1118.21,67.5,590900,497200.0,4341,1963,1053.5,1495.0,0,2378,0,1126.0,0,1108,2.631751953517868,0.017476115,0,0.01,0.09,1.04,0.06,0.26,0,1073690.0,0.030225529,0.12,0.024894448,27.309420704305907
CA-502,alameda county,1059.68,67.4,558300,480700.0,4178,2212,1555.0,1538.0,0,1966,0,1173.0,0,1153,2.631751953517868,0.018309993,0,0.01,0.08,2.08,0.05,0.27,0,1073690.0,0.030942397,0.12,0.023880382,27.38113615313368
CA-502,alameda county,1068.46,68.7,514900,472900.0,4257,2212,1565.0,1501.0,0,2045,0,1182.0,0,1189,2.257374642589081,0.016188767,0,0.01,0.08,0.81,0.06,0.27,0,1237721.0,0.03134841,0.12,0.022908948,27.006297458152588
CA-502,alameda county,1215.23,69.7,493800,518900.0,4264,2337,1566.0,1549.0,0,1927,0,1236.0,0,1200,2.217916324101992,0.017136078,0,0.01,0.08,0.11,0.07,0.27,0,1261319.0,0.033747738,0.12,0.022351131,26.51899130994009
CA-502,alameda county,1408.85,70.6,509300,587600.0,4272,2337,1590.0,1605.0,0,1935,0,1312.0,492,1233,2.1394617862009166,0.017540897,0,0.01,0.09,0.01,0.06,0.28,0,1291680.0,0.033485193,0.11,0.022958295,24.66098772139188
CA-502,alameda county,1539.67,70.9,543100,656700.0,4040,2397,1614.0,1719.0,365,1643,43,1435.0,414,1272,2.016341502,0.016981288,104,0.01,0.1,5.65,0.06,0.29,106,1318973.0,0.030923902,0.11,0.024075594,25.1562173788496
CA-502,alameda county,1715.62,69.8,593500,713600.0,4145,2397,1673.0,1838.0,372,1748,30,1535.0,399,1344,1.9234112758339608,0.017668222,121,0.01,0.1,9.38,0.06,0.29,107,1328629.0,0.032507052,0.11,0.024230687,33.844599835256346
CA-502,alameda county,1836.54,71.2,649100,781000.0,5629,3863,1779.0,1960.0,832,1766,42,1660.0,1005,1447,1.814228362560505,0.017317324,168,0.01,0.11,4.28,0.07,0.3,130,1346578.0,0.035193814,0.11,0.023708055,32.97429193167794
CA-502,alameda county,2000.68,69.9,707800,842000.0,5496,3863,1904.0,2087.0,805,1633,41,1791.0,930,1566,1.7107409538148006,0.016537543,182,0.01,0.12,3.73,0.07,0.31,116,1352338.0,0.033748252,0.1,0.023764169,47.99773114688969
CA-503,sacramento county,611.77,73.8,324200,240200.0,2734,1194,1053.5,1205.0,0,1540,0,865.0,0,871,2.631751953517868,0.016211438,0,0.01,0.07,1.54,0.06,0.14,0,1073690.0,0.029976954,0.1,0.021841699,16.544751254260657
CA-503,sacramento county,552.02,73.2,285000,217000.0,2376,955,1264.0,1191.0,0,1421,0,872.0,0,886,2.631751953517868,0.017420732,0,0.01,0.07,2.6,0.06,0.14,0,1073690.0,0.02791509,0.1,0.021785315,19.39148526226432
CA-503,sacramento county,555.15,75.2,249800,213500.0,2812,955,1253.0,1189.0,0,1857,0,869.0,0,895,3.5870538134230268,0.018266062,0,0.01,0.07,1.1,0.06,0.15,0,1116097.0,0.03134635,0.1,0.022517431,17.358225767732165
CA-503,sacramento county,651.35,76.0,234200,238000.0,2538,786,1232.0,1159.0,0,1752,0,890.0,0,899,3.638699957905931,0.016793297,0,0.01,0.07,0.22,0.07,0.15,0,1128425.0,0.029537709,0.1,0.022482254,16.524676355205646
CA-503,sacramento county,750.89,76.8,236500,273800.0,2449,786,1217.0,1159.0,0,1663,0,900.0,206,906,3.613836054389042,0.0165962,0,0.01,0.08,0.02,0.06,0.15,0,1143245.0,0.033052726,0.1,0.023171658,17.71090396214036
CA-503,sacramento county,797.52,77.3,248400,301200.0,2659,948,1206.0,1211.0,141,1711,34,943.0,303,911,3.516939525,0.017985992,56,0.01,0.06,5.86,0.07,0.16,22,1166355.0,0.031292816,0.1,0.023676928,16.507534038535187
CA-503,sacramento county,872.75,76.6,271300,326800.0,2500,948,1215.0,1237.0,149,1552,36,980.0,298,936,3.415153391404653,0.018445519,37,0.01,0.08,10.18,0.07,0.15,22,1179010.0,0.033556515,0.1,0.02475998,23.944623566344248
CA-503,sacramento county,957.28,78.4,299900,353400.0,3665,2052,1251.0,1326.0,490,1613,31,1077.0,242,981,3.275450683730936,0.017272796,179,0.01,0.09,4.47,0.08,0.15,24,1192355.0,0.035652336,0.1,0.024535889,23.4981099628482
CA-503,sacramento county,1022.54,76.5,330100,376800.0,3621,2052,1318.0,1403.0,479,1569,34,1152.0,270,1043,3.118961405,0.017849738,168,0.01,0.08,4.53,0.08,0.16,26,1202163.0,0.035724785,0.1,0.024712925,35.82984656501239
CA-504,sonoma county,931.84,64.0,524400,414000.0,3345,2222,1053.5,1421.0,0,1123,0,1121.0,0,1102,2.631751953517868,0.023167464,0,0.0,0.06,2.4,0.03,0.04,0,1073690.0,0.042624505,0.02,0.02717472,93.03116472313958
CA-504,sonoma county,861.86,63.8,477300,398900.0,4541,3366,1490.0,1423.0,0,1175,0,1108.0,0,1133,2.631751953517868,0.022543822,0,0.0,0.08,8.08,0.04,0.04,0,1073690.0,0.041949045,0.02,0.029531915,91.14956621
CA-504,sonoma county,858.54,64.8,430900,380100.0,4483,3366,1487.0,1416.0,0,1117,0,1145.0,0,1149,2.631751953517868,0.024480053,0,0.0,0.12,1.22,0.04,0.04,0,1073690.0,0.038753307,0.02,0.032277479,86.46027978384929
CA-504,sonoma county,978.04,65.6,407400,406900.0,4280,3309,1478.0,1422.0,0,971,0,1172.0,0,1161,2.631751953517868,0.021033281,0,0.0,0.12,0.25,0.04,0.04,0,1073690.0,0.039218221,0.01,0.029188425,85.27020220191409
CA-504,sonoma county,1142.08,66.6,414500,469400.0,4266,3309,1486.0,1487.0,0,957,0,1250.0,873,1193,2.631751953517868,0.026142733,0,0.0,0.12,0.19,0.05,0.04,0,1073690.0,0.042403237,0.01,0.031313713,61.67528965679304
CA-504,sonoma county,1225.75,67.4,436400,512100.0,3097,2060,1475.0,1474.0,513,1037,68,1270.0,647,1209,2.631751953517868,0.018456783,227,0.0,0.11,12.73,0.06,0.04,42,1073690.0,0.043104993,0.02,0.031560542,57.76532092949292
CA-504,sonoma county,1335.9,65.9,464700,565200.0,2906,1906,1504.0,1594.0,582,1000,36,1420.0,582,1261,2.631751953517868,0.024217306,232,0.0,0.14,19.58,0.05,0.04,17,1073690.0,0.047937663,0.02,0.030910211,56.22579167302967
CA-504,sonoma county,1438.44,67.6,513300,628400.0,2835,1847,1577.0,1717.0,396,988,28,1453.0,431,1327,2.631751953517868,0.021748573,173,0.0,0.15,7.92,0.06,0.04,29,1073690.0,0.04596632,0.02,0.030891461,59.92695152637705
CA-504,sonoma county,1562.11,66.7,568700,655200.0,2996,1929,1651.0,1736.0,627,1067,35,1528.0,490,1412,2.631751953517868,0.02396278,206,0.0,0.14,9.67,0.05,0.04,45,1073690.0,0.041400802,0.02,0.031317633,59.696239
CA-514,fresno county,499.49,70.3,257000,212500.0,4288,2457,1053.5,980.0,0,1831,0,707.0,0,700,2.631751953517868,0.015465343,0,0.0,0.21,2.07,0.04,0.09,0,1073690.0,0.026622077,0.05,0.019187826,54.45941474423695
CA-514,fresno county,452.6,69.2,236400,184300.0,5135,3822,1013.0,985.0,0,1313,0,730.0,0,725,2.631751953517868,0.014012031,0,0.0,0.25,2.39,0.04,0.1,0,1073690.0,0.026689886,0.05,0.019238438,47.38921505019015
CA-514,fresno county,450.52,71.7,212100,174200.0,4492,3822,1014.0,964.0,0,670,0,740.0,0,731,2.6612841203759463,0.016387891,0,0.0,0.24,1.07,0.04,0.1,0,689141.0,0.02669072,0.05,0.018937752,32.776005158740126
CA-514,fresno county,493.39,72.8,195400,185200.0,3131,2537,1006.0,954.0,0,594,0,738.0,0,748,2.68790486,0.017142761,0,0.0,0.18,0.58,0.04,0.1,0,694221.0,0.025595851,0.05,0.02026962,26.83302035044421
CA-514,fresno county,556.17,73.0,191700,204700.0,2592,1883,1003.0,969.0,0,709,0,760.0,390,753,2.6528456508096965,0.015357556,0,0.0,0.19,0.19,0.04,0.1,0,704338.0,0.026495537,0.05,0.022515099,17.664056721932663
CA-514,fresno county,587.38,72.5,194600,220100.0,1722,1183,992.0,985.0,87,539,14,760.0,188,752,2.5631406101702505,0.015888419,110,0.0,0.16,5.47,0.03,0.1,27,714358.0,0.024562476,0.05,0.020428553,19.215952404035043
CA-514,fresno county,619.83,73.1,204900,238100.0,1883,1431,996.0,1025.0,135,452,22,784.0,136,765,2.5068079700212764,0.016554497,84,0.0,0.15,12.17,0.04,0.1,30,718643.0,0.024519474,0.05,0.02288974,20.37897205472805
CA-514,fresno county,668.99,74.1,220600,248700.0,2016,1529,1029.0,1057.0,119,487,19,796.0,134,780,2.4491803685275846,0.016919803,155,0.0,0.14,2.1,0.04,0.1,63,725753.0,0.031567189,0.05,0.02147879,21.560740144810943
CA-514,fresno county,715.63,73.3,237500,274400.0,2144,1681,1068.0,1088.0,97,463,16,835.0,100,804,2.3936909536831754,0.017281778,171,0.0,0.14,4.01,0.05,0.1,93,730253.0,0.027138978,0.05,0.021554706,25.10256720791992
CA-600,los angeles county,1031.0,72.6,508800,429500.0,33243,19193,1053.5,1357.0,0,14050,0,1061.0,0,1017,2.631751953517868,0.015721302,0,0.0,0.21,0.67,0.04,0.14,0,1073690.0,0.026619921,0.08,0.020548359,35.01041959920138
CA-600,los angeles county,982.16,72.6,478300,410600.0,34622,17740,1390.0,1354.0,0,16882,0,1073.0,0,1066,2.631751953517868,0.016490957,0,0.0,0.19,0.85,0.04,0.14,0,1073690.0,0.027420818,0.08,0.020533001,31.670850401428755
CA-600,los angeles county,977.35,74.7,443300,399500.0,31553,17740,1407.0,1360.0,0,13813,0,1088.0,0,1098,1.9525810869039872,0.016148189,0,0.0,0.2,1.29,0.04,0.14,0,7820930.0,0.027844211,0.08,0.020986392,35.46347094778632
CA-600,los angeles county,1066.93,75.0,420200,420200.0,35524,22590,1408.0,1366.0,0,12934,0,1114.0,0,1110,1.9507013985972408,0.017502926,0,0.0,0.19,0.07,0.04,0.14,0,7904849.0,0.02861516,0.08,0.021425231,33.99624680170075
CA-600,los angeles county,1208.96,75.0,425100,464400.0,34393,22590,1412.0,1393.0,0,11803,0,1145.0,4017,1129,1.925105485232068,0.016894434,0,0.0,0.2,1.39,0.04,0.14,0,8020080.0,0.029233234,0.08,0.022055501,40.48457999042702
CA-600,los angeles county,1276.96,75.2,441900,497200.0,41174,28948,1409.0,1435.0,2453,12226,133,1181.0,3089,1139,1.8841645399887537,0.017164207,1458,0.0,0.21,3.47,0.04,0.14,710,8091650.0,0.030342197,0.08,0.023016842,43.25741535611613
CA-600,los angeles county,1373.51,76.5,465000,537900.0,43854,32781,1433.0,1477.0,1822,11073,262,1226.0,3447,1167,1.8406217189159089,0.017516817,903,0.0,0.22,7.83,0.04,0.15,465,8088028.0,0.030203646,0.08,0.02395897,51.59833116659436
CA-600,los angeles county,1467.64,76.9,495800,588700.0,52442,38470,1482.0,1550.0,1884,13972,342,1292.0,3199,1210,1.7729755122168371,0.018897217,1569,0.0,0.23,2.12,0.04,0.15,893,8131810.0,0.032334902,0.08,0.024069546,49.43338876839366
CA-600,los angeles county,1566.16,76.7,543400,625200.0,49955,37570,1550.0,1625.0,1532,12385,464,1376.0,2955,1288,1.7180194200575398,0.01907354,1211,0.0,0.21,5.64,0.04,0.15,818,8092458.0,0.032298592,0.08,0.024485435,56.03785276917559
CA-601,san diego county,882.24,73.0,486000,407000.0,8383,4465,1053.5,1498.0,0,3918,0,1178.0,0,1155,2.631751953517868,0.018406376,0,0.0,0.07,0.96,0.05,0.11,0,1073690.0,0.0271981,0.05,0.02140864,30.050295073133743
CA-601,san diego county,839.92,73.4,455000,396500.0,9436,5456,1540.0,1462.0,0,3980,0,1170.0,0,1187,2.631751953517868,0.018396411,0,0.0,0.07,0.72,0.05,0.11,0,1073690.0,0.029821956,0.05,0.022382629,31.516529574641734
CA-601,san diego county,844.31,74.9,419400,386400.0,10013,5642,1547.0,1471.0,0,4371,0,1195.0,0,1210,2.063186949808251,0.01882336,0,0.0,0.07,1.56,0.05,0.11,0,2433129.0,0.029035307,0.05,0.0204176,27.649651911466304
CA-601,san diego county,931.11,75.6,402100,411000.0,8879,4574,1539.0,1473.0,0,4305,0,1214.0,0,1219,2.0701001517573663,0.018839381,0,0.0,0.06,0.14,0.05,0.11,0,2467755.0,0.030026606,0.05,0.022275113,26.06459275529343
CA-601,san diego county,1042.87,75.4,412800,457300.0,8506,3985,1542.0,1536.0,0,4521,0,1295.0,579,1241,2.042157915241421,0.017201528,0,0.0,0.06,0.6,0.05,0.12,0,2520618.0,0.029862436,0.05,0.023804395,26.49475484471837
CA-601,san diego county,1088.12,75.6,429600,485900.0,8742,4156,1534.0,1573.0,465,4586,159,1348.0,846,1255,1.9942517134165605,0.017853197,270,0.0,0.07,4.03,0.05,0.12,99,2561111.0,0.031833712,0.05,0.023288229,26.129161669553664
CA-601,san diego county,1168.56,76.9,454600,527600.0,8669,4940,1578.0,1655.0,930,3729,128,1415.0,966,1307,1.9379814818559205,0.019415875,194,0.0,0.05,5.78,0.05,0.12,117,2571748.0,0.03191019,0.05,0.023761894,27.444171633931905
CA-601,san diego county,1251.32,76.8,484900,563800.0,9160,5621,1645.0,1735.0,778,3539,138,1506.0,1434,1381,1.8834835826260548,0.018794164,288,0.0,0.07,2.55,0.05,0.12,192,2592802.0,0.032517748,0.05,0.022984793,25.650811577800084
CA-601,san diego county,1326.55,77.0,526300,606200.0,8576,4990,1723.0,1785.0,396,3586,123,1578.0,892,1465,1.824771059798332,0.017670825,285,0.0,0.06,2.92,0.05,0.12,104,2592380.0,0.033658914,0.05,0.023613642,24.26961983986005
CA-604,kern county,409.45,77.5,217100,164200.0,1499,832,1053.5,956.0,0,667,0,709.0,0,677,2.631751953517868,0.009714951,0,0.0,0.13,0.56,0.04,0.04,0,1073690.0,0.026265514,0.06,0.017407834,16.895422150732056
CA-604,kern county,377.66,77.0,196000,155900.0,1439,833,999.0,957.0,0,606,0,713.0,0,707,2.631751953517868,0.009559592,0,0.0,0.1,0.65,0.03,0.04,0,1073690.0,0.023814444,0.06,0.016389381,15.79147774125804
CA-604,kern county,389.71,78.9,171200,150200.0,1352,833,1009.0,971.0,0,519,0,723.0,0,722,3.379014925,0.010967602,0,0.0,0.14,0.81,0.03,0.05,0,599731.0,0.025564207,0.06,0.020749675,13.331420027681212
CA-604,kern county,442.29,79.7,161700,161000.0,1152,605,1005.0,962.0,0,547,0,744.0,0,738,3.3228969267529043,0.00931695,0,0.0,0.11,0.16,0.03,0.05,0,606850.0,0.025347057,0.06,0.022026931,11.342470577608452
CA-604,kern county,502.79,79.5,161800,183100.0,992,415,999.0,968.0,0,577,0,739.0,87,746,3.2442714022101296,0.010422038,0,0.0,0.09,0.81,0.04,0.05,0,616163.0,0.025591449,0.05,0.01972698,10.814168601276844
CA-604,kern county,526.28,79.2,167400,197100.0,954,409,988.0,990.0,74,545,3,766.0,66,741,3.203786818293334,0.011200713,19,0.0,0.08,2.49,0.03,0.05,26,623637.0,0.026185251,0.06,0.020400691,12.05938597720584
CA-604,kern county,542.09,80.4,175600,204200.0,1067,506,999.0,1017.0,126,561,10,774.0,94,755,3.1631396709564226,0.012091032,52,0.0,0.12,5.12,0.04,0.05,3,622957.0,0.027624697,0.05,0.018430404,9.069340144
CA-604,kern county,563.46,81.2,190600,205700.0,810,269,1021.0,1010.0,102,541,17,801.0,68,774,3.0727423102674174,0.010743249,18,0.0,0.1,1.53,0.03,0.05,10,634775.0,0.030848073,0.05,0.019225881,9.868817214
CA-604,kern county,592.16,80.6,205200,226400.0,885,370,1054.0,1072.0,28,515,10,809.0,70,787,3.015577477204744,0.011905027,31,0.0,0.09,2.8,0.04,0.05,4,637523.0,0.030477361,0.06,0.019843571,14.774461731922392
CA-611,ventura county,1045.52,66.8,568700,458200.0,1815,1291,1053.5,1682.0,0,524,0,1294.0,0,1294,2.631751953517868,0.015997219,0,0.0,0.12,0.86,0.04,0.07,0,1073690.0,0.029724866,0.02,0.024840561,21.760797142482726
CA-611,ventura county,983.08,67.5,515900,433100.0,1810,980,1801.0,1743.0,0,830,0,1303.0,0,1339,2.631751953517868,0.016886859,0,0.0,0.1,1.37,0.04,0.07,0,1073690.0,0.030045529,0.02,0.023486032,23.038801121078112
